Items,Carbohydrates,Protein,Fat,Calories,Fiber,Serving,Cost,Cat,Description
Apple,14,0.3,0.2,53,2.4,1 apple,0.333,Integer,"Smiths Fuji Apples extra small (2-1/2"" dia)"
Beer,7,1,0,110,0,12oz,0.800,Integer,Budlight 30 Pack
Black_Beans,19,7,0.5,110,7,1/2cup=130g,0.206,Continuous,"Great Value Reduced Sodium Black Beans, 15.25oz"
Bread,14,3,1,70,2,1 slice,0.060,Integer,Great Value Wheat Bread
Broccoli,4,1,0,25,2,3oz=1cup,0.270,Integer,Great Value Frozen Broccoli
Brown_Rice,35,4,1.5,160,2,1/4cup=45g,0.080,Continuous,Kroger Long Grain Brown Rice
Cabernet,4,0,0,125,0,5oz,0.559,Integer,Franzia Cabernet Sauvignon
Cheese,1,7,9,111,0,1oz,0.270,Integer,Great Value Mild Shredded Cheddar
Chicken,0,19,8,150,0,4oz,0.770,Integer,Costco Chicken Thighs
Coconut_Oil,0,0,14,120,0,1tbsp,0.100,Integer,Costco Coconut Oil
Coke,0,0,0,0,0,12oz,0.310,Integer,Coke Zero
Corn,11,2,1,60,3,4oz=1/2cup,0.360,Integer,Great Value Corn
Diced_Tomatoes,5,1,0,25,1,1/2cup=121g,0.211,Continuous,"Great Value Petite Diced Tomatoes, 14.5oz"
Eggs,0,6,5,70,0,1 egg,0.140,Integer,Great Value 60 Count Crate
Elbow_Pasta,41,7,1,200,2,1/2cup dry,0.109,Continuous,"Great Value Elbow Macaroni, 5lb x 2"
Greek_Yogurt,7,17,0,100,0,2/3cup=170g,0.756,Continuous,"Great Value Plain Greek Nonfat Yogurt, 32oz"
Green_Beans,3,1,0,20,2,121g=1/2cup,0.380,Integer,Great Value Green Beans
Ground_Beef,0,22,14,210,0,4oz,1.000,Continuous,Great Value Ground Beef
Half_and_Half,1,1,3.5,40,0,2 Tbsp,0.062,Integer,"Great Value Ultra-Pasteurized, Grade A, Homogenized Half and Half, 0.5 Gallon, 64 Oz"
Italian_Power_Bowl,36,16,9,290,6,1 bowl,3.480,Integer,"Healthy Choice Power Bowls Italian-Style Chicken Sausage & Peppers, 9.25 Ounce"
Kidney_Beans,21,7,0.5,100,7,1/2cup=130g,0.206,Continuous,"Great Value Dark Red Kidney Beans, 15.5oz"
Korean_Power_Bowl,37,20,9,310,6,1 bowl,3.480,Integer,"Healthy Choice Power Bowls Frozen Dinner, Korean-Inspired Beef Bowl, 9.5 Ounce"
Lentils,20,10,0,80,11,1/4cup=35g,0.084,Continuous,de mi tierra Lentils
Mayonnaise,0,0,11,100,0,1Tbsp=13g,0.031,Integer,"(3 Pack) Great Value Real Mayonnaise, 30 fl oz"
Mixed_Nuts,10,2,15,180,3,1oz,0.425,Integer,Kirkland Signature Extra Fancy Mixed Nuts Premium Quality
Oats,27,5,2.5,150,4,1/2cup=40g,0.126,Continuous,Kroger Old Fashioned Oats 100% Whole Grain
Onion,14.94,1.76,0.16,64,2.7,1 onion=160g,0.660,Continuous,Sweet Onions
Orange,9.3,0.6,0.2,37,1.3,1 orange,0.200,Integer,Wonderful Halos Mandarin Oranges
Pasta_Sauce,12,2,2,70,2,1/2cup=4oz,0.235,Continuous,Great Value Chunky Tomato Garlic & Onion
Peanut_Butter,8,7,15,180,2,2 Tbsp=32g,0.111,Integer,"(2 Pack) Great Value Crunchy Peanut Butter, 40 ounces"
Pear,26,1,0,100,6,1 pear,0.890,Integer,Anjou Pear
Protein_Bar,23,21,7,190,7,1 bar,1.395,Integer,Kirkland Signature Protein Bar Variety Pack
Refried_Beans,18,6,3,120,6,4oz=1/2cup,0.240,Integer,Rosarita Traditional Refried Beans
Rice_Cakes,14,1,1,60,1,1 cake,0.249,Integer,Lundberg Brown Rice Cakes Salt Free 8.5oz (2 Pack)
Rolls,28,5,1.5,150,1,1 roll,0.248,Integer,Hard Rolls-12 ct Walmart Bakery
Russet_Potato,26,3,0,110,2,1 medium,0.330,Integer,Generic (need data)
Sausage,2,9,19,215,0,2 oz,0.500,Integer,Jimmy Dean Maple
Tuna,0,10,0.5,45,0,2oz=1/4cup,0.320,Integer,"(8 Cans) Great Value Chunk Light Tuna in Water, 5oz"
Turkey_Bacon,0,6,2,45,0,1 slice,0.342,Integer,Columbus Hickory Smoked Uncured Turkey Bacon
Whey,3,24,1,120,1,1 scoop,0.750,Integer,Costco Optimum Nutrition
